epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.25223577120993085,0.9067440174039159,0.15665660177667937,0.9416666666666667
1,0.1189799374965818,0.9598259608411893,0.10337317320227157,0.9458333333333333
2,0.08978177599738567,0.9718153251148175,0.14550786036609983,0.9458333333333333
3,0.07916414927919042,0.9730722745951172,0.09968742529357162,0.9666666666666667
4,0.07441043168331564,0.9758762388204013,0.10477897920645773,0.9708333333333333
5,0.0611553295912815,0.9811941020062848,0.11699385323057261,0.9541666666666667
6,0.05850196852980939,0.9807590041092579,0.09512840503036084,0.9666666666666667
7,0.045301765254837145,0.9858351462412376,0.10320257232524455,0.9583333333333334
8,0.046357191096386176,0.9847232293932802,0.1394372534317275,0.95
9,0.04143288907182333,0.9871887841430989,0.06848269780311966,0.9708333333333333
10,0.033793875169207524,0.9894609620497945,0.11135047459826335,0.9625
11,0.03561343268745376,0.9899927483683829,0.10621238302458853,0.9708333333333333
12,0.028450852598259278,0.9922165820642977,0.08917809746018672,0.9625
13,0.029863321193688362,0.9912980420594634,0.0815869574920119,0.975
14,0.02451546364731759,0.9932318104906938,0.11074412097392876,0.9666666666666667
15,0.02585559730510157,0.993376843123036,0.08214015138704174,0.9708333333333333
16,0.0250204417224661,0.9935218757553783,0.08474163142576192,0.9708333333333333
17,0.016992747515360434,0.9954072999758279,0.11051786605185043,0.9625
18,0.018744704620245172,0.9954072999758279,0.17143129508622224,0.95
19,0.01665439860606693,0.995987430505197,0.12565467551758047,0.9625
20,0.01866870122058522,0.9946821368141165,0.16911466545328344,0.9541666666666667
21,0.01934115793314981,0.9954072999758279,0.07303790530738752,0.9708333333333333
22,0.014006316558360293,0.9964225284022238,0.12152885052228157,0.9708333333333333
23,0.01704549703792853,0.9954072999758279,0.10062056276168126,0.9625
24,0.01094032082445473,0.997389412617839,0.1233457942437326,0.9708333333333333
