epoch,train_loss,train_acc,valid_loss,valid_acc
0,0.2537865450683642,0.9116267826927725,0.13437212817370892,0.9583333333333334
1,0.11209341880417631,0.9628716461203771,0.13764199521392584,0.9458333333333333
2,0.09057946972159954,0.9708967851099831,0.0885359589010477,0.975
3,0.06696520583703663,0.9780517283055354,0.13727567344903946,0.9541666666666667
4,0.05524955957638114,0.9832245588590767,0.10880444943904877,0.9625
5,0.046693344437106384,0.9859318346627991,0.10745088011026382,0.9666666666666667
6,0.03926773161012999,0.9886391104665216,0.10072943762255211,0.9625
7,0.03334878344765955,0.9904761904761905,0.09276888271172841,0.95
8,0.028268470126367407,0.9928450568044477,0.13420853961724788,0.9625
9,0.02567759008593236,0.993376843123036,0.07377550921713312,0.9875
10,0.01917428222689971,0.9958907420836355,0.10935027136777838,0.9666666666666667
11,0.017818456035443252,0.9962291515591007,0.07966987357940525,0.9708333333333333
12,0.01843293114985943,0.9956490210297317,0.08736486084914456,0.9708333333333333
13,0.015977778251523526,0.9970026589315929,0.058803303788105644,0.9708333333333333
14,0.01288199717721368,0.9972927241962775,0.04402631361517706,0.9875
15,0.013782180841572731,0.9970510031423737,0.12326533518110712,0.9625
16,0.013725147348240374,0.9971960357747159,0.09886819745103519,0.9625
17,0.0132400939835932,0.997389412617839,0.06784246380751331,0.9791666666666666
18,0.011792894048774268,0.9979695431472081,0.11767539451830089,0.9458333333333333
19,0.008611547223128855,0.9989847715736041,0.13351393731621405,0.9583333333333334
20,0.010269926696433151,0.9979211989364274,0.13166819885373116,0.9625
21,0.009060633002125503,0.9986463620981387,0.10132475208956748,0.9666666666666667
22,0.008953503148540438,0.9983562968334542,0.09683279427311693,0.9666666666666667
23,0.007658937224839806,0.9990814599951656,0.07828630675794557,0.975
24,0.0060802373283555975,0.9993715252598502,0.04088261257857084,0.9875
